EAEE5185
[0, 0, 320],
[75, 10, 320],
[75, 10, 320],
[75, 10, 319],
[75, 10, 319],
[75, 10, 320],
[75, 10, 320],
[75, 10, 320],
[75, 10, 319],
[75, 10, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[75, 10, 320],
[75, 10, 320],
[75, 10, 319],
[75, 10, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[75, 10, 319],
[75, 10, 320],
[75, 10, 320],
[75, 10, 320],
[75, 10, 319],
[75, 10, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[75, 10, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[75, 10, 320],
[75, 10, 319],
[75, 10, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
[73, 13, 320],
[73, 13, 320],
[73, 13, 320],
[73, 13, 319],
[73, 13, 319],
