7D672674
[0, 0, 320],
[103, 30, 320],
[103, 30, 319],
[103, 30, 319],
[103, 30, 320],
[103, 30, 320],
[103, 30, 320],
[103, 30, 319],
[103, 30, 319],
[103, 30, 320],
[106, 79, 320],
[106, 79, 320],
[103, 30, 319],
[103, 30, 319],
[103, 30, 320],
[103, 30, 320],
[103, 30, 320],
[103, 30, 319],
[103, 30, 319],
[103, 30, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 319],
[103, 30, 319],
[103, 30, 320],
[103, 30, 320],
[103, 30, 320],
[103, 30, 319],
[103, 30, 319],
[103, 30, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 319],
[106, 79, 319],
[104, 79, 320],
[103, 30, 320],
[103, 30, 320],
[103, 30, 319],
[103, 30, 319],
[103, 30, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 319],
[106, 79, 320],
[106, 79, 320],
[103, 30, 320],
[103, 30, 319],
[103, 30, 319],
[103, 30, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 319],
[106, 79, 319],
[106, 79, 320],
[106, 79, 320],
[106, 79, 320],
[104, 79, 320],
[103, 30, 319],
[103, 30, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 319],
[106, 79, 319],
[106, 79, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 319],
[104, 79, 319],
[103, 30, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 319],
[106, 79, 319],
[106, 79, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 319],
[106, 79, 319],
[104, 79, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 319],
[106, 79, 319],
[106, 79, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 319],
[106, 79, 319],
[106, 79, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 319],
[106, 79, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 319],
[106, 79, 319],
[106, 79, 320],
[104, 78, 320],
[104, 78, 320],
[104, 78, 319],
[103, 30, 319],
[103, 30, 320],
[103, 30, 320],
[103, 30, 320],
[103, 30, 319],
[103, 30, 319],
[103, 30, 320],
[104, 78, 320],
[104, 78, 320],
[104, 78, 319],
[104, 78, 319],
[103, 30, 320],
[103, 30, 320],
[103, 30, 320],
[103, 30, 319],
[103, 30, 319],
[103, 30, 320],
[104, 78, 320],
[104, 78, 320],
[104, 78, 320],
[104, 78, 319],
[104, 78, 320],
[103, 30, 320],
[103, 30, 320],
[103, 30, 320],
[103, 30, 319],
[103, 30, 320],
[106, 79, 320],
[106, 79, 320],
[104, 79, 319],
[104, 79, 319],
[104, 79, 320],
[104, 79, 320],
[103, 30, 320],
[103, 30, 319],
[103, 30, 319],
[103, 30, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 319],
[104, 79, 319],
[104, 79, 320],
[104, 79, 320],
[104, 79, 320],
[103, 30, 319],
[103, 30, 319],
[103, 30, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 319],
[106, 79, 319],
[104, 79, 320],
[104, 79, 320],
[104, 79, 320],
[104, 79, 319],
[104, 79, 319],
[103, 30, 320],
[106, 79, 320],
[106, 79, 320],
[106, 79, 319],
[106, 79, 319],
[106, 79, 320],
[106, 79, 320],
[104, 79, 320],
[104, 79, 319],
[104, 79, 319],
[104, 79, 320],
