AA2B6F9D
[0, 0, 320],
[124, 24, 320],
[124, 24, 320],
[124, 24, 320],
[124, 24, 319],
[124, 24, 319],
[124, 24, 320],
[124, 24, 320],
[124, 24, 320],
[124, 24, 319],
[41, 77, 319],
[45, 28, 319],
[31, 30, 320],
[31, 30, 320],
[31, 30, 320],
[31, 30, 319],
[31, 30, 319],
[31, 30, 320],
[31, 30, 320],
[31, 30, 320],
[41, 77, 319],
[45, 28, 319],
[45, 28, 320],
[45, 28, 320],
[31, 30, 320],
[31, 30, 319],
[31, 30, 319],
[31, 30, 320],
[31, 30, 320],
[31, 30, 320],
[41, 77, 319],
[45, 28, 319],
[45, 28, 320],
[45, 28, 320],
[45, 28, 320],
[45, 28, 319],
[31, 30, 319],
[31, 30, 320],
[31, 30, 320],
[31, 30, 320],
[41, 77, 319],
[45, 28, 319],
[45, 28, 320],
[45, 28, 320],
[45, 28, 320],
[45, 28, 319],
[45, 28, 319],
[31, 30, 320],
[31, 30, 320],
[31, 30, 320],
[41, 77, 319],
[45, 28, 319],
[45, 28, 320],
[45, 28, 320],
[45, 28, 320],
[45, 28, 319],
[45, 28, 319],
[45, 28, 320],
[45, 28, 320],
[31, 30, 320],
[41, 77, 319],
[41, 77, 319],
[45, 28, 320],
[45, 28, 320],
[45, 28, 320],
[45, 28, 319],
[45, 28, 319],
[45, 28, 320],
[45, 28, 320],
[45, 28, 320],
[41, 77, 319],
[41, 77, 319],
[45, 28, 320],
[45, 28, 320],
[45, 28, 320],
[45, 28, 319],
[45, 28, 319],
[45, 28, 320],
[45, 28, 320],
[45, 28, 320],
[41, 77, 319],
[41, 77, 319],
[45, 28, 320],
[45, 28, 320],
[45, 28, 320],
[45, 28, 319],
[45, 28, 319],
[45, 28, 320],
[45, 28, 320],
[45, 28, 320],
[41, 77, 319],
[41, 77, 319],
[45, 28, 320],
[45, 28, 320],
[45, 28, 320],
[45, 28, 319],
[45, 28, 319],
[45, 28, 320],
[45, 28, 320],
[45, 28, 320],
[114, 7, 319],
[124, 24, 319],
[124, 24, 320],
[124, 24, 320],
[124, 24, 320],
[124, 24, 320],
[124, 24, 319],
[124, 24, 319],
[124, 24, 320],
[124, 24, 320],
[117, 83, 320],
[125, 16, 319],
[125, 16, 319],
[125, 16, 320],
[125, 16, 320],
[125, 16, 320],
[125, 16, 319],
[125, 16, 319],
[125, 16, 320],
[125, 16, 320],
[117, 83, 320],
[117, 83, 319],
[125, 18, 319],
[125, 18, 320],
[125, 16, 320],
[123, 61, 320],
[123, 61, 319],
[123, 61, 319],
[123, 61, 320],
[123, 61, 320],
[117, 83, 320],
[117, 83, 319],
[117, 83, 320],
[125, 18, 320],
[123, 61, 320],
[123, 61, 320],
[123, 61, 319],
[123, 61, 319],
[123, 61, 320],
[123, 61, 320],
[117, 83, 320],
[117, 83, 319],
[117, 83, 319],
[119, 83, 320],
[123, 61, 320],
[123, 61, 320],
[123, 61, 319],
[123, 61, 319],
[123, 61, 320],
[123, 61, 320],
[117, 83, 320],
[117, 83, 319],
[117, 83, 320],
[117, 83, 320],
[119, 83, 320],
[123, 61, 320],
[123, 61, 319],
[123, 61, 319],
[123, 61, 320],
[123, 61, 320],
[117, 83, 320],
[117, 83, 319],
[117, 83, 319],
[117, 83, 320],
[117, 83, 320],
[45, 28, 320],
[45, 28, 320],
[45, 28, 320],
[30, 30, 320],
[30, 30, 319],
[117, 83, 320],
[117, 83, 319],
[117, 83, 319],
[117, 83, 320],
[117, 83, 320],
[45, 28, 320],
[45, 28, 320],
[45, 28, 320],
[45, 28, 319],
[45, 28, 319],
[79, 79, 320],
[117, 83, 320],
[117, 83, 320],
[117, 83, 319],
[117, 83, 319],
[45, 28, 320],
[45, 28, 319],
[45, 28, 319],
[45, 28, 320],
[45, 28, 320],
[79, 79, 320],
[117, 83, 319],
[117, 83, 320],
[117, 83, 320],
[117, 83, 320],
[45, 28, 319],
[45, 28, 320],
[45, 28, 320],
[45, 28, 320],
[45, 28, 319],
[114, 7, 319],
[124, 24, 320],
[124, 24, 319],
[124, 24, 320],
[124, 24, 320],
[124, 24, 320],
[124, 24, 320],
[124, 24, 319],
[124, 24, 319],
[124, 24, 320],
[117, 83, 320],
[119, 83, 320],
[125, 16, 319],
[125, 16, 319],
[125, 16, 320],
[125, 16, 320],
[125, 16, 320],
[125, 16, 319],
[125, 16, 320],
[125, 24, 320],
[117, 83, 320],
[117, 83, 320],
[125, 16, 319],
[125, 16, 319],
[125, 16, 320],
[125, 16, 320],
[125, 16, 320],
[125, 16, 319],
[125, 16, 319],
[125, 16, 320],
[117, 83, 320],
[117, 83, 320],
[117, 83, 319],
[125, 16, 319],
[125, 16, 320],
[125, 16, 320],
[125, 16, 320],
[125, 16, 319],
[125, 16, 319],
[125, 16, 320],
[117, 83, 320],
[117, 83, 320],
[117, 83, 319],
[119, 83, 319],
[125, 18, 320],
[125, 18, 320],
[125, 18, 320],
[125, 18, 319],
[125, 16, 319],
[123, 61, 320],
[117, 83, 320],
[117, 83, 320],
[117, 83, 319],
[117, 83, 319],
